player_id,team,opponent,last5_avg_disposals,last5_avg_goals,last5_avg_fantasy
45439,St Kilda Saints,Brisbane Lions,5.666666666666667,1.0,25.2
45586,West Coast Eagles,Fremantle Dockers,12.5,2.333333333333333,48.2
45690,Melbourne Demons,Geelong Cats,15.8,,49.2
45789,Fremantle Dockers,Hawthorn Hawks,6.2,,27.6
45866,Brisbane Lions,Port Adelaide Power,5.0,1.0,23.4
45718,Collingwood Magpies,Richmond Tigers,13.6,1.0,48.2
45571,Fremantle Dockers,Carlton Blues,3.6666666666666665,2.0,14.8
45808,Port Adelaide Power,Geelong Cats,6.6,1.0,26.4
45740,North Melbourne Kangaroos,St Kilda Saints,5.0,1.0,27.6
45376,Carlton Blues,Geelong Cats,3.5,,10.0
45515,Port Adelaide Power,Melbourne Demons,7.4,1.0,32.0
45421,Sydney Swans,Adelaide Crows,10.6,1.0,44.2
45364,Richmond Tigers,Carlton Blues,12.8,1.6666666666666667,53.6
45541,Collingwood Magpies,Brisbane Lions,4.75,,21.4
45411,Port Adelaide Power,Western Bulldogs,4.5,,18.5
45349,Essendon Bombers,St Kilda Saints,10.8,1.0,43.0
45379,Brisbane Lions,Richmond Tigers,19.6,1.0,73.8
45920,Melbourne Demons,Carlton Blues,17.6,1.3333333333333333,62.8
45769,Port Adelaide Power,St Kilda Saints,8.6,1.3333333333333333,34.6
45840,North Melbourne Kangaroos,West Coast Eagles,13.0,1.3333333333333333,57.8
45698,Melbourne Demons,Collingwood Magpies,8.0,1.4,39.6
45490,Essendon Bombers,Brisbane Lions,11.2,,34.8
45479,Hawthorn Hawks,Port Adelaide Power,4.5,,17.75
45964,Carlton Blues,North Melbourne Kangaroos,12.8,2.25,57.2
45494,Adelaide Crows,Geelong Cats,5.2,1.0,25.6
45678,Carlton Blues,Adelaide Crows,8.25,,19.6
45535,Collingwood Magpies,Geelong Cats,7.0,1.0,28.8
45587,St Kilda Saints,Brisbane Lions,9.2,1.0,31.8
45550,Brisbane Lions,St Kilda Saints,9.4,,39.6
45676,Hawthorn Hawks,Adelaide Crows,10.0,,34.6
45967,Collingwood Magpies,Carlton Blues,14.0,1.0,48.2
45546,Collingwood Magpies,Carlton Blues,16.5,,52.4
45702,West Coast Eagles,Brisbane Lions,11.0,1.0,38.6
45822,Collingwood Magpies,West Coast Eagles,8.6,,28.6
45483,Brisbane Lions,Adelaide Crows,9.0,,38.0
45930,Hawthorn Hawks,Melbourne Demons,8.8,,32.8
45918,St Kilda Saints,Western Bulldogs,10.8,1.0,45.6
45402,St Kilda Saints,Western Bulldogs,9.25,,31.0
45655,Melbourne Demons,Port Adelaide Power,13.25,1.3333333333333333,44.2
45805,Adelaide Crows,Sydney Swans,7.8,,47.4
45801,Geelong Cats,Carlton Blues,13.0,1.0,49.2
45704,Fremantle Dockers,Brisbane Lions,7.4,,28.4
45700,Fremantle Dockers,Brisbane Lions,8.0,1.6666666666666667,45.25
45370,Fremantle Dockers,Sydney Swans,8.0,,33.2
45517,Geelong Cats,Hawthorn Hawks,6.8,1.0,22.8
45888,Melbourne Demons,Brisbane Lions,6.2,1.5,28.8
45795,Carlton Blues,St Kilda Saints,7.0,5.0,36.0
45473,Carlton Blues,St Kilda Saints,9.5,1.0,34.8
45911,Collingwood Magpies,North Melbourne Kangaroos,9.6,,38.2
45929,Richmond Tigers,Carlton Blues,4.6,,38.2
45760,Richmond Tigers,Carlton Blues,0.75,1.0,27.4
45939,Melbourne Demons,Essendon Bombers,15.8,2.0,59.8
45457,Collingwood Magpies,Brisbane Lions,11.6,2.0,45.2
45871,Melbourne Demons,Essendon Bombers,5.6,,24.8
45351,St Kilda Saints,West Coast Eagles,14.4,1.0,48.8
45908,Essendon Bombers,Melbourne Demons,8.2,,36.2
45675,Adelaide Crows,North Melbourne Kangaroos,12.2,4.0,55.0
45900,North Melbourne Kangaroos,Adelaide Crows,4.5,2.0,17.6
45373,Adelaide Crows,North Melbourne Kangaroos,11.6,1.0,41.6
45621,Adelaide Crows,North Melbourne Kangaroos,8.0,1.0,31.0
45580,Hawthorn Hawks,Sydney Swans,12.8,1.0,39.4
45431,Fremantle Dockers,Geelong Cats,6.4,1.0,28.4
45787,Adelaide Crows,North Melbourne Kangaroos,5.2,,24.0
45415,Port Adelaide Power,North Melbourne Kangaroos,7.2,2.0,36.2
45383,Port Adelaide Power,North Melbourne Kangaroos,6.0,1.0,44.4
45891,Essendon Bombers,Carlton Blues,7.8,,51.2
45684,North Melbourne Kangaroos,Carlton Blues,8.0,,32.6
45597,Carlton Blues,North Melbourne Kangaroos,4.6,,18.6
45423,Melbourne Demons,Richmond Tigers,11.4,1.5,45.8
45867,North Melbourne Kangaroos,West Coast Eagles,8.0,1.6666666666666667,29.6
45848,Richmond Tigers,Essendon Bombers,11.8,,34.6
46247,North Melbourne Kangaroos,Richmond Tigers,10.0,,37.0
45407,Brisbane Lions,Hawthorn Hawks,6.6,1.0,28.4
45440,Melbourne Demons,Sydney Swans,5.8,3.0,31.4
46027,Port Adelaide Power,Western Bulldogs,,,
45657,Hawthorn Hawks,Essendon Bombers,7.6,1.0,35.6
45502,Adelaide Crows,West Coast Eagles,6.8,,29.6
45778,Sydney Swans,Collingwood Magpies,8.4,1.5,36.2
46279,Brisbane Lions,Port Adelaide Power,9.0,,34.0
45670,West Coast Eagles,Geelong Cats,11.2,1.5,42.8
46276,Hawthorn Hawks,Port Adelaide Power,,,
45868,Melbourne Demons,Geelong Cats,10.0,1.0,28.0
45516,Sydney Swans,Geelong Cats,12.8,2.0,46.8
45699,Western Bulldogs,Hawthorn Hawks,6.0,1.5,28.25
45892,Western Bulldogs,Hawthorn Hawks,8.4,3.0,33.8
46013,West Coast Eagles,Melbourne Demons,,,
45322,North Melbourne Kangaroos,Hawthorn Hawks,7.333333333333333,1.0,20.2
45762,Port Adelaide Power,Geelong Cats,9.8,2.5,34.8
45324,Geelong Cats,Essendon Bombers,14.2,2.0,60.0
45444,Geelong Cats,Essendon Bombers,10.8,,44.2
45482,North Melbourne Kangaroos,Carlton Blues,6.6,1.5,38.0
45697,Geelong Cats,Essendon Bombers,11.2,1.0,50.4
45792,Collingwood Magpies,West Coast Eagles,7.5,1.3333333333333333,33.4
46006,Collingwood Magpies,Geelong Cats,,,
46301,Collingwood Magpies,Geelong Cats,,,
45708,Brisbane Lions,Richmond Tigers,6.5,,50.2
45372,Port Adelaide Power,North Melbourne Kangaroos,15.8,,56.8
45511,Melbourne Demons,Carlton Blues,23.8,1.0,86.8
45601,West Coast Eagles,Brisbane Lions,5.666666666666667,,11.4
45869,Carlton Blues,Melbourne Demons,10.4,,37.2
45726,Geelong Cats,Western Bulldogs,4.0,,17.0
45615,Collingwood Magpies,Melbourne Demons,11.25,,36.6
45905,West Coast Eagles,Port Adelaide Power,6.6,,30.2
45776,Collingwood Magpies,Melbourne Demons,8.5,2.0,37.5
46035,St Kilda Saints,Hawthorn Hawks,8.333333333333334,1.0,28.6
45320,Sydney Swans,Essendon Bombers,7.0,1.6666666666666667,30.0
45419,Hawthorn Hawks,St Kilda Saints,8.0,1.0,31.8
