team_name_norm,opponent_norm,last5_avg_score,last5_win_rate,last3_win_rate,win_streak,days_rest,h2h_win_rate,venue_win_rate,cum_wins_before_match,ladder_rank_before_match
brisbane bears,adelaide crows,76.6,0.2,0.3333333333333333,-1,7.0,0.25,0.25,8.0,2.0
adelaide crows,fitzroy lions,81.6,0.2,0.3333333333333333,-2,7.0,0.625,0.7049180327868853,7.0,2.0
adelaide crows,brisbane bears,115.8,0.6,0.6666666666666666,-1,6.0,1.0,1.0,3.0,2.0
adelaide crows,brisbane lions,82.8,0.8,1.0,4,7.0,0.5,0.5416666666666666,5.0,3.0
adelaide crows,carlton blues,81.0,0.2,0.0,-4,7.0,0.5,0.5686274509803921,5.0,9.0
adelaide crows,collingwood magpies,47.0,0.0,0.0,-13,6.0,0.6,0.6363636363636364,0.0,2.0
adelaide crows,essendon bombers,39.6,0.0,0.0,-10,6.0,0.3333333333333333,0.6533333333333333,0.0,6.0
adelaide crows,fremantle dockers,85.6,0.6,0.6666666666666666,2,7.0,1.0,0.6309523809523809,3.0,2.0
adelaide crows,geelong cats,118.0,0.6,0.6666666666666666,-1,5.0,0.4285714285714285,0.5714285714285714,3.0,1.0
adelaide crows,gold coast suns,89.6,0.6,0.3333333333333333,-1,7.0,1.0,0.4,4.0,5.0
adelaide crows,greater western sydney giants,95.4,0.6,0.6666666666666666,2,7.0,1.0,1.0,5.0,2.0
adelaide crows,hawthorn hawks,93.4,0.6,0.6666666666666666,-1,7.0,0.5555555555555556,0.2,3.0,2.0
adelaide crows,melbourne demons,76.2,0.6,0.6666666666666666,2,7.0,0.75,0.7192982456140351,9.0,6.0
adelaide crows,north melbourne kangaroos,104.2,0.8,0.6666666666666666,2,9.0,0.6666666666666666,0.4772727272727273,9.0,1.0
adelaide crows,port adelaide power,82.8,0.4,0.3333333333333333,-1,8.0,0.75,0.5,7.0,2.0
adelaide crows,richmond tigers,98.2,0.4,0.3333333333333333,1,7.0,0.625,0.4814814814814814,1.0,3.0
adelaide crows,st kilda saints,80.4,0.2,0.3333333333333333,-2,204.0,0.6,0.5648854961832062,0.0,2.0
adelaide crows,sydney swans,88.8,0.4,0.6666666666666666,-1,7.0,1.0,0.5897435897435898,10.0,6.0
adelaide crows,west coast eagles,113.8,0.6,1.0,3,6.0,0.6666666666666666,0.3333333333333333,7.0,4.0
adelaide crows,western bulldogs,91.0,0.8,0.6666666666666666,-1,6.0,0.3333333333333333,0.660377358490566,12.0,4.0
carlton blues,brisbane bears,90.2,0.4,0.6666666666666666,-1,7.0,0.8125,1.0,15.0,3.0
collingwood magpies,brisbane bears,98.2,0.4,0.3333333333333333,1,6.0,0.8571428571428571,0.7362637362637363,8.0,8.0
brisbane bears,essendon bombers,91.2,0.8,0.6666666666666666,-1,6.0,0.2142857142857142,0.5869565217391305,15.0,1.0
brisbane bears,fremantle dockers,106.6,1.0,1.0,6,7.0,0.5,0.5777777777777777,14.0,2.0
fremantle dockers,brisbane bears,82.6,0.4,0.3333333333333333,-1,8.0,0.5,,6.0,7.0
brisbane bears,carlton blues,97.4,0.8,0.6666666666666666,1,8.0,0.0,0.5957446808510638,16.0,1.0
brisbane bears,collingwood magpies,79.2,0.2,0.0,-4,5.0,0.0,0.3333333333333333,6.0,2.0
brisbane bears,fitzroy lions,84.4,0.2,0.3333333333333333,-1,13.0,,0.0,5.0,4.0
brisbane bears,geelong cats,75.2,0.2,0.3333333333333333,1,6.0,1.0,0.2,3.0,6.0
brisbane bears,hawthorn hawks,102.2,0.2,0.3333333333333333,-1,6.0,,0.1111111111111111,1.0,6.0
brisbane bears,melbourne demons,109.8,0.8,0.6666666666666666,2,6.0,1.0,0.5,9.0,1.0
brisbane bears,north melbourne kangaroos,81.4,0.2,0.0,-4,15.0,0.5,0.375,2.0,4.0
